seed,Method,StepSize,N,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi4,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg,RMSEphi4.avg
12,Pspline-SGD,0.3,0,5,33.6158049106598,0.9400697829880166,1.400390069649912,1.187302837015777,1.0830210742980126,0.9400697829880166,1.355929621951737,1.0237116103522612,1.0830210742980126
12,Pspline-SGD,0.3,100,5,1.04077744483948,0.9620626257926395,1.4256487265308937,1.139246886628894,1.067490117825976,0.9620626257926395,1.3756767206466693,0.9417895256722301,1.067490117825976
12,Pspline-SGD,0.3,200,5,1.02827286720276,0.787136802907496,1.5287080457773439,1.0729549937266478,1.1347987502138517,0.787136802907496,1.33722321239642,0.7634828633765536,1.1347987502138517
12,Pspline-SGD,0.3,300,5,1.03715443611145,0.5853939009195739,1.6257995682896054,1.1586658193291495,1.0631124518872765,0.5853939009195739,1.1275898236438464,0.8128688242142704,1.0631124518872765
12,Pspline-SGD,0.3,400,5,1.01984763145447,0.6143850421646466,1.5993465526046065,1.211905750701408,1.0644539526244259,0.6143850421646466,1.0140591803367056,0.7770764950623482,1.0644539526244259
12,Pspline-SGD,0.3,500,5,1.02346992492676,0.571757382794593,1.5851721298686734,1.298681793164238,1.0733775299733168,0.571757382794593,0.8930012773325638,0.7331221126864371,1.0733775299733168
12,Pspline-SGD,0.3,600,5,1.02201128005981,0.601446898689148,1.569054549714872,1.4261251839379288,1.068345964888687,0.601446898689148,0.7378442605600481,0.7109825848209088,1.068345964888687
12,Pspline-SGD,0.3,700,5,1.01904034614563,0.5697053795498671,1.4765319500632965,1.405898563370278,1.0688637652440667,0.5697053795498671,0.6313252085295212,0.5367888999103981,1.0688637652440667
12,Pspline-SGD,0.3,800,5,1.0068998336792,0.5757590795079524,1.498484254801991,1.481543126198759,1.054944668496827,0.5757590795079524,0.619874645322978,0.40468801699828244,1.054944668496827
12,Pspline-SGD,0.3,900,5,1.01089096069336,0.5726691798326187,1.4906939409660607,1.4788070126227393,1.0094118125798484,0.5726691798326187,0.6045916681352711,0.39787763502904905,1.0094118125798484
12,Pspline-SGD,0.3,1000,5,1.01173949241638,0.596548943326331,1.4735136810574558,1.462278695671731,0.8932091262593167,0.596548943326331,0.5699501261359686,0.2813714890259012,0.8932091262593167
12,Pspline-SGD,0.3,1100,5,1.01413249969482,0.5846510783673224,1.4507563474971432,1.485209142785661,0.7930345525225776,0.5846510783673224,0.609085480709898,0.3414219256754976,0.7930345525225776
12,Pspline-SGD,0.3,1200,5,1.01803302764893,0.5517979631572845,1.437091293830191,1.4438950088198907,0.7360221236083972,0.5517979631572845,0.5583623795983387,0.2969716129972882,0.7360221236083972
