noise,seed,Method,StepSize,N,Ninit,initMethod,npc,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg,tau
0.1,16,OnlineFPCA-sgd,0.1,0,100,face,3,5,1.82834196090698,0.10929259470919007,0.1664701542202803,0.35626235529333716,0.10929259470919007,0.1664701542202803,0.35626235529333716,1.0000000000000004e-6
0.1,16,OnlineFPCA-sgd,0.1,100,100,face,3,5,0.584216594696045,0.47765424530744827,0.7305988579482634,0.552018746827947,NA,NA,NA,1.7782794100389236e-5
0.1,16,OnlineFPCA-sgd,0.1,200,100,face,3,5,0.428727626800537,0.2067667069438183,0.5070675890816664,0.6359529456225833,NA,NA,NA,1.7782794100389236e-5
0.1,16,OnlineFPCA-sgd,0.1,300,100,face,3,5,0.434515237808228,0.5127093159806076,0.6008011470566931,0.5340651503845755,NA,NA,NA,1.7782794100389236e-5
0.1,16,OnlineFPCA-sgd,0.1,400,100,face,3,5,0.46620512008667,0.47897197470356373,0.5613725539678975,0.5573072248124102,NA,NA,NA,5.975009126276091e-6
0.1,16,OnlineFPCA-sgd,0.1,500,100,face,3,5,0.593076467514038,0.3284157798471087,0.6876345637746533,0.7665996887739327,NA,NA,NA,5.975009126276091e-6
0.1,16,OnlineFPCA-sgd,0.1,600,100,face,3,5,0.426491498947144,0.28763805160241435,0.6696437395793466,0.7563648990823422,NA,NA,NA,1.3581798834756835e-5
0.1,16,OnlineFPCA-sgd,0.1,700,100,face,3,5,0.398201942443848,0.2577828531123444,0.6446613350813605,0.7357438035875468,NA,NA,NA,2.83856182919353e-5
0.1,16,OnlineFPCA-sgd,0.1,800,100,face,3,5,0.400233268737793,0.24751002611716375,0.6142850407482743,0.7190321979442303,NA,NA,NA,5.554835064180021e-5
0.1,16,OnlineFPCA-sgd,0.1,900,100,face,3,5,0.394374132156372,0.22312923526253864,0.5884296446275116,0.6952608688686522,NA,NA,NA,1.030786387158967e-4
0.1,16,OnlineFPCA-sgd,0.1,1000,100,face,3,5,0.403241395950317,0.21247816467972414,0.5480464846265706,0.6875172464642253,NA,NA,NA,1.8305283691621657e-4
0.1,16,OnlineFPCA-sgd,0.1,1100,100,face,3,5,0.597168445587158,0.393544418913017,0.45559281453771233,0.455804345026875,0.22048789468262223,0.4303171550573368,0.5473020718376418,1.8305283691621657e-4
0.1,16,OnlineFPCA-sgd,0.1,1200,100,face,3,5,0.608917474746704,0.09832033081481875,0.4249376111138495,0.4282349591929056,0.1714132140523369,0.41794740682475556,0.47694452767132917,1.8305283691621657e-4
0.1,16,OnlineFPCA-sgd,0.1,1300,100,face,3,5,0.586660385131836,0.153107719497655,0.394782521226721,0.4491460086013447,0.12214974895140354,0.41084947033700986,0.4535525565238695,1.1350463441718514e-4
0.1,16,OnlineFPCA-sgd,0.1,1400,100,face,3,5,0.592750787734985,0.19959969715664377,0.38647309306179783,0.40401496674179577,0.08972932505563717,0.3991696012322188,0.4388481606906978,1.1350463441718514e-4
