seed,Method,StepSize,N,Ninit,initMethod,npc,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg
92,OnlineFPCA-sgd,0.1,0,100,face,3,5,0.984991788864136,0.05121130213592263,0.10483400206712368,0.24083563900910177,0.05121130213592263,0.10483400206712368,0.24083563900910177
92,OnlineFPCA-sgd,0.1,100,100,face,3,5,0.566107273101807,0.4269793212192218,1.2045943363445348,1.288526918962866,NA,NA,NA
92,OnlineFPCA-sgd,0.1,200,100,face,3,5,0.417623519897461,0.2133328900338121,1.1349290694669991,1.175252033088638,NA,NA,NA
92,OnlineFPCA-sgd,0.1,300,100,face,3,5,0.430664300918579,0.12614396990644855,1.0845569953690426,1.0725249324123092,NA,NA,NA
92,OnlineFPCA-sgd,0.1,400,100,face,3,5,0.402852773666382,0.17743335423110715,0.8386392476872538,1.064656115665658,NA,NA,NA
92,OnlineFPCA-sgd,0.1,500,100,face,3,5,0.409745454788208,0.3359339619539204,0.8514039299460009,0.785336389216152,NA,NA,NA
92,OnlineFPCA-sgd,0.1,600,100,face,3,5,0.523664236068726,0.30574474540479746,0.8438717255889953,0.7805725722669096,NA,NA,NA
92,OnlineFPCA-sgd,0.1,700,100,face,3,5,0.353530645370483,0.28782959875026704,0.8353951341677959,0.777109375267411,NA,NA,NA
92,OnlineFPCA-sgd,0.1,800,100,face,3,5,0.365780830383301,0.27910129269424666,0.8296614744533534,0.7764509555271287,NA,NA,NA
92,OnlineFPCA-sgd,0.1,900,100,face,3,5,0.356593608856201,0.26458610946783806,0.825204053919703,0.7747244677788502,NA,NA,NA
92,OnlineFPCA-sgd,0.1,1000,100,face,3,5,0.35190224647522,0.25111353285986854,0.8205667970400304,0.7732545916772363,NA,NA,NA
92,OnlineFPCA-sgd,0.1,1100,100,face,3,5,0.523654460906982,0.6876237113026775,0.6530664585695014,0.7323022104312228,0.17401804449277786,0.7075237310066083,0.7252340339415665
92,OnlineFPCA-sgd,0.1,1200,100,face,3,5,0.511111974716187,0.29631087696344566,0.7064588951408127,1.0271914737000922,0.08988616842347187,0.6990873437324854,0.8553922076315899
92,OnlineFPCA-sgd,0.1,1300,100,face,3,5,0.500016450881958,0.16442221702939386,0.5759639506692951,0.6693036402929947,0.08693071254072497,0.6341671282872035,0.7570451396076043
92,OnlineFPCA-sgd,0.1,1400,100,face,3,5,0.538435935974121,0.5478993147761968,0.45103320779201006,0.7567818212884323,0.1026000391686442,0.5840003210173242,0.7190001816263725
92,OnlineFPCA-sgd,0.1,1500,100,face,3,5,0.500311136245728,0.2166743427946861,0.6004545273125086,0.6311517673551024,0.08435428803380714,0.6145860189589241,0.7145417003350646
